english,japanese,pronunciation
"data analysis","データ解析、データ分析","でーた かいせき、でーた ぶんせき"
"exploratory data analysis","探索的データ解析","たんさく てき でーた かいせき"
"machine learning","機械学習","きかい がくしゅう"
"machine learning model","機械学習モデル","きかい がくしゅう もでる"
"statistics","統計学","とうけい がく"
"descriptive statistics","記述統計学","きじゅつ とうけい がく"
"inferential statistics","推測統計学","すいそく とうけい がく"
"attribute","属性","ぞくせい"
"characteristic","特性 (特色、特徴)","とくせい (とくしょく、とくちょう)"
"feature","特徴 (特色、特質)","とくちょう (とくしょく、とくしつ)"
"population","母集団","ぼ しゅうだん"
"sample","標本","ひょうほん"
"census","全数調査","ぜんすう ちょうさ"
"variable","変数","へんすう"
"continuous variable","連続変数","れんぞく へんすう"
"discrete variable","離散変数","りさん へんすう"
"level of measurement","データの水準","でーた の すいじゅん"
"nominal scale","名義尺度","めいぎ しゃくど"
"ordinal scale","順序尺度","じゅんじょ しゃくど"
"interval scale","間隔尺度","かんかく しゃくど"
"ratio scale","比例尺度、比尺度、比率尺度","ひれい しゃくど、ひ しゃくど、ひりつ しゃくど"
"quantitative data","量的データ","りょうてき でーた"
"qualitative data","質的データ","しつてき でーた"
"average","代表値、平均","だいひょう ち、へいきん"
"mean","平均値","へいきん ち"
"expectation","期待値、期待","きたい ち、きたい"
"expected vale","期待値","きたい ち"
"mode","最頻値","さいひん ち"
"median","中央値","ちゅうおう ち"
"dispersion","散布度","さんぷ ど"
"range","範囲","はんい"
"quartiles","四分位数","し ぶんい すう"
"quartile range","四分位範囲","し ぶんい はんい"
"percentile","パーセンタイル","ぱーせんたいる"
"quantile","分位数","ぶんい すう"
"variance","分散","ぶんさん"
"standard deviation","標準偏差","ひょうじゅん へんさ"
"coefficient of variation","変動係数","へんどう けいすう"
"five-number summary","五数要約","ごすう ようやく"
"outlier","外れ値","はずれ ち"
"skew","歪み","ひず み"
"skewness","歪度","わいど"
"kurtosis","尖度","せんど"
"transformation of variable","変数変換","へんすう へんかん"
"frequency table","度数分布表","どすう ぶんぶ ひょう"
"contingency table","分割表","ぶんかつ ひょう"
"crosstab","クロス集計表","くろす しゅうけい ひょう"
"class","階級","かいきゅう"
"histogram","ヒストグラム","ひすとぐらむ"
"box and whisker plot","箱ひげ図","はこ ひげ ず"
"scatterplot","散布図","さんぷ ず"
"coefficient of correlation","相関係数","そうかん けいすう"
"random variable","確率変数","かくりつ へんすう"
"probability density function","確率密度関数","かくりつ みつど かんすう"
"cumulative distribution function","累積密度関数","るいせき みつど かんすう"
"probability distribution","確率分布","かくりつ ぶんぷ"
"central limit theorem","中心極限定理","ちゅうしん きょくげん ていり"
"normal distribution","正規分布","せいき ぶんぷ"
"binominal distribution","二項分布","にこう ぶんぷ"
"binomial coefficient","二項係数","にこう けいすう"
"Bernoulli trial","ベルヌーイ試行","べるぬーい しこう"
"Poisson distribution","ポアソン分布","ぽあそん ぶんぷ"
"statistical inference","統計的推定","とうけい てき すいてい"
"parameter","パラメータ、母数","ぱらめーた、ぼすう"
"sample statistic","標本統計量","ひょうほん とうけい りょう"
"probability sample","確率標本","かくりつ ひょうほん"
"random sample","無作為標本","むさくい ひょうほん"
"random number","乱数","らんすう"
"point estimation","点推定","てん すいてい"
"point estimate","点推定値","てん すいてい ち"
"interval estimation","区間推定","くかん すいてい"
"confidence interval","信頼区間","しんらい くかん"
"confidence level","信頼度、信頼係数","しんらい ど、しんらい けいすう"
"confidence limit","信頼限界","しんらい げんかい"
"standard error","標準誤差","ひょうじゅん ごさ"
"population mean","母平均","ぼ へいきん"
"sample mean","標本平均","ひょうほん へいきん"
"population proportion","母比率","ぼ ひりつ"
"sample proportion","標本比率","ひょうほん ひりつ"
"population variance","母分散","ぼ ぶんさん"
"sample variance","標本分散","ひょうほん ぶんさん"
"hypothesis test","仮説検定","かせつ けんてい"
"alternative hypothesis","対立仮説","たいりつ かせつ"
"null hypothesis","帰無仮説","きむ かせつ"
"p-value","有意確率","ゆうい かくりつ"
"significance level","有意水準","ゆうい すいじゅん"
"type I error","第1種の過誤","だい いっしゅ の かご"
"type II error","第2種の過誤","だい にしゅ の かご"
"Bayes’s theorem","ベイズの定理","べいず の ていり"
"prior probability distribution","事前確率分布","じぜん かくりつ ぶんぷ"
"posterior probability distribution","事後確率分布","じご かくりつ ぶんぷ"
"conditional probability","条件付き確率","じょうけん つき かくりつ"
"dependent variable","従属変数","じゅうぞく へんすう"
"independent variable","独立変数","どくりつ へんすう"
"explanatory variable","説明変数","せつめい へんすう"
"predictor","予測変数","よそく へんすう"
"regressor","リグレッサー","りぐれっさー(独立変数)"
"regressand","リグレッサンド","りぐれっさんと(従属変数)"
"criterion variable","基準変数","きじゅん へんすう"
"regression analysis","回帰分析","かいき ぶんせき"
"estimated regression equation","予測式","よそく しき"
"simple linear regression","単回帰分析","たん かいき ぶんせき"
"multiple linear regression","重回帰分析","じゅう かいき ぶんせき"
"regression equation","回帰式","かいき しき"
"multiple regression equation","重回帰式","じゅう かいき しき"
"intercept","切片項、定数項","せっぺん こう、ていすう こう"
"regression coefficient","回帰係数","かいき けいすう"
"error term","誤差項","ごさ こう"
"residual","残差","ざんさ"
"residual analysis","残差分析","ざんさ ぶんせき"
"standardized residual","標準化残差","ひょうじんか ざんさ"
"analysis of variance","分散分析","ぶんさん ぶんせき"
"stationary","定常状態","ていじょう じょうたい"
"nonstationary","非定常状態","ひ ていじょう じょうたい"
"coefficient of determination","決定係数","けってい けいすう"
"time series","時系列データ","じけいれつ でーた"
"trend","傾向","けいこう"
"moving average","移動平均","いどう へいきん"
